Trip ID,Membership Type,Bicycle ID,Checkout Date,Checkout Time,Checkout Kiosk ID,Checkout Kiosk,Return Kiosk ID,Return Kiosk,Trip Duration Minutes,Month,Year
16463434,Walk Up,746,12/02/2017,0:07:54,3291,11th & San Jacinto,2570,South Congress & Academy,65,,
16463436,Walk Up,68,12/02/2017,0:08:30,3291,11th & San Jacinto,2570,South Congress & Academy,64,,
16463462,Walk Up,822,12/02/2017,0:31:25,3619,6th & Congress,2537,West & 6th St.,6,,
16463480,Local365,428,12/02/2017,0:43:51,2552,3rd & West,2563,Davis at Rainey Street,10,,
16463496,Local30,64,12/02/2017,1:04:09,3455,Republic Square @ 5th & Guadalupe,3687,Boardwalk West,9,,
16463500,Local365,911,12/02/2017,1:15:06,2539,Convention Center / 3rd & Trinity,3621,Nueces & 3rd,5,,
16463522,Local365,664,12/02/2017,1:52:53,3660,Medina & East 6th,2563,Davis at Rainey Street,8,,
16463529,Walk Up,26,12/02/2017,2:04:32,2537,West & 6th St.,3390,Brazos & 6th,67,,
16463535,Local365,106,12/02/2017,2:22:31,2547,Guadalupe & 21st,2552,3rd & West,11,,
16463536,Local365,464,12/02/2017,2:22:41,2552,3rd & West,2575,Riverside @ S. Lamar,3,,
16463554,Local365,3025,12/02/2017,2:47:38,2563,Davis at Rainey Street,2552,3rd & West,9,,
16463566,Walk Up,201,12/02/2017,3:43:04,3619,6th & Congress,2542,Plaza Saltillo,327,,
16463596,Local365,236,12/02/2017,6:19:54,2503,South Congress & James,3687,Boardwalk West,10,,
16463634,Weekender,728,12/02/2017,6:43:35,3619,6th & Congress,3619,6th & Congress,49,,
16463682,Walk Up,414,12/02/2017,7:44:13,2822,East 6th at Robert Martinez,3291,11th & San Jacinto,36,,
16463772,Walk Up,661,12/02/2017,8:31:01,2498,Convention Center / 4th St. @ MetroRail,3621,Nueces & 3rd,41,,
16463788,Walk Up,540,12/02/2017,8:39:21,2494,2nd & Congress,2575,Riverside @ S. Lamar,49,,
16463790,Walk Up,270,12/02/2017,8:41:08,2569,East 11th St. & San Marcos,2707,Rainey St @ Cummings,17,,
16463792,Walk Up,640,12/02/2017,8:41:40,2569,East 11th St. & San Marcos,2707,Rainey St @ Cummings,17,,
16463807,Walk Up,134,12/02/2017,8:49:54,2575,Riverside @ S. Lamar,2575,Riverside @ S. Lamar,108,,
16463810,Walk Up,963,12/02/2017,8:50:25,2575,Riverside @ S. Lamar,2575,Riverside @ S. Lamar,107,,
16463825,Local365,3471,12/02/2017,8:53:59,2566,Pfluger Bridge @ W 2nd Street,3293,East 2nd & Pedernales,46,,
16463826,Local365,57,12/02/2017,8:54:02,2566,Pfluger Bridge @ W 2nd Street,3293,East 2nd & Pedernales,45,,
16463843,Walk Up,409,12/02/2017,8:59:21,2707,Rainey St @ Cummings,2707,Rainey St @ Cummings,4,,
16463844,Walk Up,640,12/02/2017,8:59:53,2707,Rainey St @ Cummings,2499,City Hall / Lavaca & 2nd,20,,
16463859,Walk Up,35,12/02/2017,9:04:09,2707,Rainey St @ Cummings,2499,City Hall / Lavaca & 2nd,15,,
16463867,Walk Up,2828,12/02/2017,9:05:31,2563,Davis at Rainey Street,2707,Rainey St @ Cummings,179,,
